#	generated from ===> Altmark_input.xlsm <===														
#	---------	INVESTMENTS	--------												
															
!	type	name	cost	life	labSub	landSub	capacity	maintenance	prodGroup	techChange	avDeprec	borrowedCapCosts	avAnnualCosts	avBoundEquity	equityShare
															
	2	SOWS1	2986200	20	0	0	1580	29862	1	0	44793	182245	256900	499743	895860
	2	SOWS2	1520000	20	-80	0	800	15200	1	0	22800	92764	130764	254373	456000
	2	SOWS3	1286880	20	-201.6	0	672	12868.8	1	0	19303	78537	110709	215360	386064
	2	SOWS4	648480	20	-168	0	336	6484.8	1	0	9727	39576	55788	108524	194544
	2	SOWS5	529200	20	-176.4	0	252	5292	1	0	7938	32297	45527	88562	158760
	2	SOWS6	374000	20	-170	0	170	3740	1	0	5610	22825	32175	62589	112200
	2	SOWS7	294400	20	-320	0	128	2944	1	0	4416	17967	25327	49268	88320
	2	SOWS8	160000	20	-294.4	0	64	1600	1	0	2400	9765	13765	26776	48000
	2	SOWS9	104000	20	-268	0	40	1040	1	0	1560	6347	8947	17404	31200
	3	PIGS1	3564000	20	0	0	10800	35640	2	0	53460	217508	306608	596438	1069200
	3	PIGS2	1809000	20	-108	0	5400	18090	2	0	27135	110402	155627	302738	542700
	3	PIGS3	686000	20	-160	0	2000	6860	2	0	10290	41866	59016	114803	205800
	3	PIGS4	357000	20	-160	0	1000	3570	2	0	5355	21787	30712	59744	107100
	3	PIGS5	216000	20	-138	0	600	2160	2	0	3240	13182	18582	36148	64800
	3	PIGS6	168000	20	-124	0	400	1680	2	0	2520	10253	14453	28115	50400
	3	PIGS7	102000	20	-122	0	200	1020	2	0	1530	6225	8775	17070	30600
	3	PIGS8	56000	20	-121	0	100	560	2	0	840	3418	4818	9372	16800
	4	INTCATTLE1	1050000	25	0	0	500	10500	3	0	12600	57497	80597	176722	315000
	4	INTCATTLE2	430000	25	-210	0	200	4300	3	0	5160	23546	33006	72372	129000
	4	INTCATTLE3	240000	25	-425	0	100	2400	3	0	2880	13142	18422	40394	72000
	4	INTCATTLE4	104000	25	-298	0	40	1040	3	0	1248	5695	7983	17504	31200
	5	EXTCATTLE1	180000	25	0	0	100	1800	4	0	2160	9857	13817	30295	54000
	5	EXTCATTLE2	76000	25	-96	0	40	760	4	0	912	4162	5834	12791	22800
	5	EXTCATTLE3	20000	25	-30	0	10	200	4	0	240	1095	1535	3366	6000
	6	DAIRY1	1691520	25	0	0	480	33830	5	0	20298	92625	146754	284694	507456
	6	DAIRY2	843120	25	-552	0	240	16862	5	0	10117	46168	73148	141903	252936
	6	DAIRY3	445200	25	-816	0	120	8904	5	0	5342	24379	38625	74930	133560
	6	DAIRY4	294960	25	-540	0	60	5899	5	0	3540	16152	25590	49644	88488
	6	DAIRY5	161520	25	-384	0	30	3230	5	0	1938	8845	14013	27185	48456
	7	PARLOUR_1	96000	12	0	0	480	2750	0	0	2400	8015	13165	16166	28800
	7	PARLOUR_2	64080	12	-280	0	240	2750	0	0	1602	5350	9702	10791	19224
	7	PARLOUR_3	54000	12	-440	0	120	1875	0	0	1350	4509	7734	9093	16200
	7	PARLOUR_4	33240	12	-680	0	60	1188	0	0	831	2775	4794	5597	9972
	7	PARLOUR_5	12480	10	-440	0	30	650	0	0	374	1187	2211	2120	3744
	7	ROBOT1	539000	8	2170	0	480	9293	0	0	20213	60759	90264	93057	161700
	7	ROBOT2	317000	8	962	0	240	5466	0	0	11888	35734	53087	54729	95100
	7	ROBOT3	172500	8	299	0	120	2974	0	0	6469	19445	28888	29782	51750
	7	ROBOT4	107280	8	-40	0	60	1850	0	0	4023	12093	17966	18522	32184
	8	VEALER1	27680	25	-80	0	20	276.8	0	0	332	1516	2125	4659	8304
	8	VEALER2	58850	25	-150	0	50	588.5	0	0	706	3223	4517	9905	17655
	8	VEALER3	99900	25	-200	0	100	999	0	0	1199	5470	7668	16814	29970
	8	VEALER4	172400	25	-200	0	200	1724	0	0	2069	9440	13233	29016	51720
	8	VEALER5	249600	25	0	0	300	2496	0	0	2995	13668	19159	42009	74880
	9	BIOGAS150	850000	20	0	0	1	17000	8	0	12750	51875	81625	142248	255000
	10	BIOGAS450	1825000	20	0	0	1	36500	9	0	27375	111378	175253	305415	547500
	11	BIOGAS800	2650000	20	0	0	1	53000	10	0	39750	161727	254477	443480	795000
	13	BIOGAS150_14	850000	20	0	0	1	17000	8	0	12750	51875	81625	142248	255000
	14	BIOGAS450_14	1825000	20	0	0	1	36500	9	0	27375	111378	175253	305415	547500
	15	BIOGAS800_14	2650000	20	0	0	1	53000	10	0	39750	161727	254477	443480	795000
	12	MACHINERY1	700000	12	1000	0	1000	28000	0	0	17500	58446	103946	117876	210000
	12	MACHINERY2	400000	12	0	0	500	16000	0	0	10000	33398	59398	67358	120000
	12	MACHINERY3	200000	12	-300	0	200	8000	0	0	5000	16699	29699	33679	60000
	12	MACHINERY4	120000	12	-364	0	100	4800	0	0	3000	10019	17819	20207	36000
	12	MACHINERY5	70000	12	-333	0	50	2800	0	0	1750	5845	10395	11788	21000
	12	MACHINERY6	48000	12	-200	0	30	1920	0	0	1200	4008	7128	8083	14400
	12	MACHINERY7	33000	12	-100	0	15	1320	0	0	825	2755	4900	5557	9900
															
#			BIOGAS150			5666.666667	850000	5000	17000						
#			BIOGAS450			4055.555556	1825000	4000	36500						
#			BIOGAS800			3312.5	2650000	3300	53000						
