#	generated from ===> REFV?sterbotten2009_03_03.xls <===																																																																																																																																																													
																																																																																																																																																														
#	-------   MIP Matrix  ------------																																																																																																																																																													
																																																																																																																																																														
#	"In the matrix, the first two lines must be that"																																																																																																																																																													
#	for LIQUIDITY and FINANCING RULE and in this order																																																																																																																																																													
#		0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149							
		ST_BORROW_CAP	EC_INTEREST	V_HIRED_LABOUR	V_OFF_FARM_LAB	AGRI_SERVICES	BARLEY	WINTER_WHEAT	RAPE_SEED	SUGAR_BEETS	PROTEIN_PLANTS	MAIZE_SILAGE	LEY	POTATOES	RYE	RYE_BIOGAS	GPS	GRASSILAGE_INT	GRASSILAGE_EXT	PORTIONSWEIDE	UMTRIEBSWEIDE	STANDWEIDE	SOWS	FATTENING_PIGS	BULL_DAIRY_INT	BULL_SUCKLER	SUCKLER_COW	DAIRY_COW	HEIFER_SUCKLER	HEIFER_DAIRY	BIOGAS_I_150kW	BIOGAS_II_150kW	BIOGAS_III_150kW	BIOGAS_IV_150kW	BIOGAS_I_450kW	BIOGAS_II_450kW	BIOGAS_III_450kW	BIOGAS_IV_450kW	BIOGAS_I_800kW	BIOGAS_II_800kW	BIOGAS_III_800kW	BIOGAS_IV_800kW	BIOGAS150KW	BIOGAS450KW	BIOGAS800KW	BIOGAS_I_150kW_N	BIOGAS_II_150kW_N	BIOGAS_III_150kW_N	BIOGAS_I_450kW_N	BIOGAS_II_450kW_N	BIOGAS_III_450kW_N	BIOGAS_I_800kW_N	BIOGAS_II_800kW_N	BIOGAS_III_800kW_N	BIOGAS150KW_N	BIOGAS450KW_N	BIOGAS800KW_N	BIOGAS_I_150kW_N14	BIOGAS_II_150kW_N14	BIOGAS_III_150kW_N14	BIOGAS_I_450kW_N14	BIOGAS_II_450kW_N14	BIOGAS_III_450kW_N14	BIOGAS_I_800kW_N14	BIOGAS_II_800kW_N14	BIOGAS_III_800kW_N14	BIOGAS150KW_N14	BIOGAS450KW_N14	BIOGAS800KW_N14	SET_ASIDE	DAIRY_CALF_SELL	DAIRY_CALF_BUY	SUCKLER_CALF_SELL	SUCKLER_CALF_BUY	MANURE_SELL	MANURE_BUY	LEASE_QUOTA	LET_QUOTA	COUPLED_PREM_UNMOD	DECOUPLED_PREM_UNMOD	TOTAL_PREM_MODULATED	TRANCH_1	TRANCH_2	TRANCH_3	TRANCH_4	TRANCH_5	IDLE_ARABLE	IDLE_GRASS	EXCESS_LU	LU_UPPER_LIMIT	SOWS1	SOWS2	SOWS3	SOWS4	SOWS5	SOWS6	SOWS7	SOWS8	SOWS9	PIGS1	PIGS2	PIGS3	PIGS4	PIGS5	PIGS6	PIGS7	PIGS8	INTCATTLE1	INTCATTLE2	INTCATTLE3	INTCATTLE4	EXTCATTLE1	EXTCATTLE2	EXTCATTLE3	DAIRY1	DAIRY2	DAIRY3	DAIRY4	DAIRY5	PARLOUR_1	PARLOUR_2	PARLOUR_3	PARLOUR_4	PARLOUR_5	ROBOT1	ROBOT2	ROBOT3	ROBOT4	VEALER1	VEALER2	VEALER3	VEALER4	VEALER5	BIOGAS150	BIOGAS450	BIOGAS800	BIOGAS150_14	BIOGAS450_14	BIOGAS800_14	MACHINERY1	MACHINERY2	MACHINERY3	MACHINERY4	MACHINERY5	MACHINERY6	MACHINERY7	HIREDLAB	OFFFARMLAB	DISINV_SOWS	DISINV_PIGS	DISINV_BEEF	DISINV_SUCKLER	DISINV_DAIRY	DISINV_VEALER	#	capacity	usedCapacity	unusedCapacity
																																																																																																																																																														
	isInteger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0				
																																																																																																																																																														
#	Gross_Margin	-0.06	0.02	-11	7	-307	176	328	348	1068	4	-745	-642	1176	42	-462	-594	-529	-352	-236	-240	-100	235	27	268	591	-24	1601	-298	-456	0	0	0	0	0	0	0	0	0	0	0	0	1000	1000	1000	0	0	0	0	0	0	0	0	0	1000	1000	1000	0	0	0	0	0	0	0	0	0	1000	1000	1000	-94	79	-110	435	-484	-150	0	-0.026	0.024	0	0	1	0	0	0	0	0	-94	-74	0	0	-256900	-130764	-110709	-55788	-45527	-32175	-25327	-13765	-8947	-306608	-155627	-59016	-30712	-18582	-14453	-8775	-4818	-80597	-33006	-18422	-7983	-13817	-5834	-1535	-146754	-73148	-38625	-25590	-14013	-13165	-9702	-7734	-4794	-2211	-90264	-53087	-28888	-17966	-2125	-4517	-7668	-13233	-19159	-81625	-175253	-254477	-81625	-175253	-254477	-103946	-59398	-29699	-17819	-10395	-7128	-4900	-10560	6720	0	0	0	0	0	0				
	liquidity	-1	1	0	0	0	191	215	247	286	145	298	257	633	177	185	119	106	70	47	48	20	346	103	213	230	112	230	197	301	0	0	0	0	0	0	0	0	0	0	0	0	75	35	25	0	0	0	0	0	0	0	0	0	75	35	25	0	0	0	0	0	0	0	0	0	75	35	25	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	22	0	0	499743	254373	215360	108524	88562	62589	49268	26776	17404	596438	302738	114803	59744	36148	28115	17070	9372	176722	72372	40394	17504	30295	12791	3366	284694	141903	74930	49644	27185	16166	10791	9093	5597	2120	93057	54729	29782	18522	4659	9905	16814	29016	42009	142248	305415	443480	142248	305415	443480	117876	67358	33679	20207	11788	8083	5557	0	0	0	0	0	0	0	0		168539	188209	-19670
	financing_rule	0	0	0	0	0	191	215	247	286	145	298	257	633	177	185	119	106	70	47	48	20	346	103	213	230	112	230	197	301	0	0	0	0	0	0	0	0	0	0	0	0	75	35	25	0	0	0	0	0	0	0	0	0	75	35	25	0	0	0	0	0	0	0	0	0	75	35	25	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	22	0	0	895860	456000	386064	194544	158760	112200	88320	48000	31200	1069200	542700	205800	107100	64800	50400	30600	16800	315000	129000	72000	31200	54000	22800	6000	507456	252936	133560	88488	48456	28800	19224	16200	9972	3744	161700	95100	51750	32184	8304	17655	29970	51720	74880	255000	547500	795000	255000	547500	795000	210000	120000	60000	36000	21000	14400	9900	0	0	0	0	0	0	0	0		188308	207979	-19670
	labour	0	0	-1	1	0	11.1	11.3	10.7	12.9	10.7	13.3	12	20.7	10.8	10.8	10.8	12	10	12	10	9	18.75	1.25	8.75	8.75	12.5	42	11	11	1064	1022	896	894	1541	1581	1370	1344	2164	2227	1899	1839	0	0	0	1064	1022	896	1541	1581	1370	2164	2227	1899	0	0	0	1064	1022	896	1541	1581	1370	2164	2227	1899	0	0	0	9.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.6	9.6	0	0	0	80	201.6	168	176.4	170	320	294.4	268	0	108	160	160	138	124	122	121	0	210	425	298	0	96	30	0	552	816	540	384	0	280	440	680	440	-2170	-962	-299	40	80	150	200	200	0	0	0	0	0	0	0	-1000	0	300	364	333	200	100	-960	960	0	0	0	0	0	0		8000	9177	-1177
	Arable_Land	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		500	575	-75
	Grazing_Land	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		40	95	-55
