#	generated from ===> Altmark_input.xlsm <===																	
#	--------- PRODUCTS --------																	
																		
				premiumName		coupled_premium	###		Name of row where initPrem has to be written in MIP-Matrix									
																		
!	id	type	group	name	stdName	price	varCost	labour	priceFlex	changeRate	producedByFarmType	LUperPlace	premium	initPrem	priceSupp	refPrem	Xyears	grossMargin
																		
	4	4	-1	AGRI_SERVICES	SERVICES	0	307	0	0	1.002	NON	0	FALSE	-	FALSE	-	-	-307
	5	4	0	BARLEY	-	908	516	4.7	0	1	ARABLE	0	TRUE	273.24	TRUE	273.24	1	392
	6	4	0	WINTER_WHEAT	-	1361	759	8.2	0	1	ARABLE	0	TRUE	273.24	TRUE	273.24	1	602
	7	4	0	RAPE_SEED	-	1353	768	7.2	0	1	ARABLE	0	TRUE	273.24	TRUE	273.24	1	585
	8	4	0	SUGAR_BEETS	-	2285	1204	6.7	0	1	ARABLE	0	TRUE	273.24	TRUE	273.24	1	1081
	9	4	0	PROTEIN_PLANTS	-	792	514	6.8	0	1	ARABLE	0	TRUE	273.24	TRUE	273.24	1	278
	10	4	0	MAIZE_SILAGE	-	0	905	13.7	0	1	NON	0	TRUE	273.24	FALSE	273.24	1	-905
	11	4	0	LEY	-	0	871	19.5	0	1	NON	0	TRUE	273.24	FALSE	273.24	1	-871
	12	4	0	POTATOES	-	8190	2241	24.9	0	1	ARABLE	0	TRUE	273.24	TRUE	273.24	1	8888
	13	4	0	RYE	-	795	466	4.6	0	1	ARABLE	0	TRUE	273.24	TRUE	273.24	1	329
	14	4	0	RYE_BIOGAS	-	0	667	4.6	0	1	ARABLE	0	TRUE	273.24	FALSE	273.24	1	-667
	15	4	0	GPS	-	0	861	11.2	0	1	NON	0	TRUE	273.24	FALSE	273.24	1	-861
	16	4	0	GRASSILAGE_INT	-	0	569	12.5	0	1	GRASSLAND	0	TRUE	273.24	FALSE	273.24	1	-569
	17	4	0	GRASSILAGE_EXT	-	0	456	11.5	0	1	GRASSLAND	0	TRUE	273.24	FALSE	273.24	1	-456
	18	4	0	PORTIONSWEIDE	-	0	260	8	0	1	GRASSLAND	0	TRUE	273.24	FALSE	273.24	1	-260
	19	4	0	UMTRIEBSWEIDE	-	0	264	4.8	0	1	GRASSLAND	0	TRUE	273.24	FALSE	273.24	1	-264
	20	4	0	STANDWEIDE	-	0	137	3.9	0	1	GRASSLAND	0	TRUE	273.24	FALSE	273.24	1	-137
	21	4	1	SOWS	-	907	776	8	0	1	PIG/POULTRY	0.3	FALSE	-	FALSE	-	-	308
	22	4	2	FATTENING_PIGS	-	401	346	1	0	1	PIG/POULTRY	0.385	FALSE	-	FALSE	-	-	250
	23	4	3	BULL_DAIRY_INT	-	1269	650	8.75	0	1	GRASSLAND	0.7	FALSE	-	FALSE	-	-	733
	24	4	3	BULL_SUCKLER	-	1269	650	6	0	1	GRASSLAND	0.7	FALSE	-	FALSE	-	-	833
	25	4	4	SUCKLER_COW	-	500	158	10	0	1	GRASSLAND	1	FALSE	-	FALSE	-	-	342
