#	generated from ===> REFV?sterbotten2009_03_03.xls <===																																																																																																																								
																																																																																																																									
#	-------   MIP Matrix  ------------																																																																																																																								
																																																																																																																									
#	"In the matrix, the first two lines must be that"																																																																																																																								
#	for LIQUIDITY and FINANCING RULE and in this order																																																																																																																								
#		0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115				
		ST_BORROW_CAP	EC_INTEREST	V_HIRED_LABOUR	V_OFF_FARM_LAB	AGRI_SERVICES	BARLEY	WINTER_WHEAT	RAPE_SEED	SUGAR_BEETS	PROTEIN_PLANTS	MAIZE_SILAGE	LEY	POTATOES	RYE	RYE_BIOGAS	GPS	GRASSILAGE_INT	GRASSILAGE_EXT	PORTIONSWEIDE	UMTRIEBSWEIDE	STANDWEIDE	SOWS	FATTENING_PIGS	BULL_DAIRY_INT	BULL_SUCKLER	SUCKLER_COW	DAIRY_COW	HEIFER_SUCKLER	HEIFER_DAIRY	HENS	BROILERS	BIOGAS_I_500kW	BIOGAS_II_500kW	BIOGAS_III_500kW	BIOGAS_IV_500kW	BIOGAS500KW	BIOGAS_I_500kW_N	BIOGAS_II_500kW_N	BIOGAS_III_500kW_N	BIOGAS500KW_N	BIOGAS_I_500kW_N14	BIOGAS_II_500kW_N14	BIOGAS_III_500kW_N14	BIOGAS500KW_N14	SET_ASIDE	DAIRY_CALF_SELL	DAIRY_CALF_BUY	SUCKLER_CALF_SELL	SUCKLER_CALF_BUY	MANURE_SELL	MANURE_BUY	LEASE_QUOTA	LET_QUOTA	COUPLED_PREM_UNMOD	DECOUPLED_PREM_UNMOD	TOTAL_PREM_MODULATED	TRANCH_1	TRANCH_2	TRANCH_3	TRANCH_4	TRANCH_5	IDLE_ARABLE	IDLE_GRASS	EXCESS_LU	LU_UPPER_LIMIT	SOWS1	SOWS2	SOWS3	SOWS4	SOWS5	SOWS6	PIGS1	PIGS2	PIGS3	PIGS4	INTCATTLE1	INTCATTLE2	INTCATTLE3	INTCATTLE4	EXTCATTLE1	EXTCATTLE2	EXTCATTLE3	DAIRY1	DAIRY2	DAIRY3	PARLOUR_1	PARLOUR_2	PARLOUR_3	ROBOT1	ROBOT2	VEALER1	VEALER2	VEALER3	HENS1	HENS2	HENS3	BROILERS1	BIOGAS500	BIOGAS500_14	MACHINERY1	MACHINERY2	MACHINERY3	MACHINERY4	MACHINERY5	MACHINERY6	MACHINERY7	HIREDLAB	OFFFARMLAB	DISINV_SOWS	DISINV_PIGS	DISINV_BEEF	DISINV_SUCKLER	DISINV_DAIRY	DISINV_VEALER	DISINV_HENS	DISINV_BROILERS	#	capacity	usedCapacity	unusedCapacity
																																																																																																																									
	isInteger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0				
																																																																																																																									
#	Gross_Margin	-0.03	0.02	-11	9.19	-307	392	602	585	1081	278	-905	-871	8888	329	-667	-861	-569	-456	-260	-264	-137	255	14	214	272	2	1289	-298	-652	21	2.2	0	0	0	0	1000	0	0	0	1000	0	0	0	1000	-94	79	-110	435	-484	-150	0	0	0	0	0	1	0	0	0	0	0	-94	-74	0	0	-256900	-130764	-110709	-55788	-45527	-32175	-306608	-155627	-59016	-30712	-80597	-33006	-18422	-7983	-13817	-5834	-1535	-146754	-73148	-38625	-13165	-9702	-7734	-90264	-53087	-2125	-4517	-7668					-175253	-175253	-103946	-59398	-29699	-17819	-10395	-7128	-4900	-10560	6720	0	0	0	0	0	0	0	0				
	liquidity	-1	1	0	0	0	191	215	247	286	145	298	257	633	177	185	119	106	70	47	48	20	346	103	213	230	112	230	197	301			0	0	0	0	35	0	0	0	35	0	0	0	35	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	22	0	0	499743	254373	215360	108524	88562	62589	596438	302738	114803	59744	176722	72372	40394	17504	30295	12791	3366	284694	141903	74930	16166	10791	9093	93057	54729	4659	9905	16814					305415	305415	117876	67358	33679	20207	11788	8083	5557	0	0	0	0	0	0	0	0	0	0		168539	188209	-19670
	financing_rule	0	0	0	0	0	191	215	247	286	145	298	257	633	177	185	119	106	70	47	48	20	346	103	213	230	112	230	197	301			0	0	0	0	35	0	0	0	35	0	0	0	35	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	22	0	0	895860	456000	386064	194544	158760	112200	1069200	542700	205800	107100	315000	129000	72000	31200	54000	22800	6000	507456	252936	133560	28800	19224	16200	161700	95100	8304	17655	29970					547500	547500	210000	120000	60000	36000	21000	14400	9900	0	0	0	0	0	0	0	0	0	0		188308	207979	-19670
	labour	0	0	-1	1	0	4.7	8.2	7.2	6.7	6.8	13.7	19.5	24.9	4.6	4.6	11.2	12.5	11.5	8	4.8	3.9	15	1	8.75	8.75	16	42	11	11	0.26	0.043	1541	1581	1370	1344	0	1541	1581	1370	0	1541	1581	1370	0	9.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.6	9.6	0	0	0	80	201.6	168	176.4	170	0	108	160	160	0	210	425	298	0	96	30	0	552	816	0	280	440	-2170	-962	80	150	200	0			0	0	0	-1000	0	300	364	333	200	100	-960	960	0	0	0	0	0	0	0	0		8000	9177	-1177
	Arable_Land	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		500	575	-75
	Grazing_Land	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		40	95	-55
	energy_requirements_livestock	0	0	0	0	0	0	0	0	0	0	-88.179	-70.298	0	0	0	0	-55.93	-37.825	-61.04	-56.175	-35	0	0	19.966	23.998	49.353	57.064	18.891	19.911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	-2303	2303
