scenario	replication	iteration	farm_ID	farm_name	display_modulation	ha	ST_BORROW_CAP	EC_INTEREST	V_HIRED_LABOUR	V_OFF_FARM_LAB	AGRI_SERVICES	BARLEY	WINTER_WHEAT	SUMMER_WHEAT	SUGAR_BEETS	MAIZE_SILAGE	GRAIN_MAIZE	PASTURE	GRASS_SILAGE	POTATOES	TRITICALE	SPELT	HENS	BROILERS	SOWS	FATTENING_PIGS	BULL_SUCKLER	SUCKLER_COW	DAIRY_COW	HEIFER_SUCKLER	HEIFER_DAIRY	DAIRY_CALF_SELL	SUCKLER_CALF_SELL	MANURE_SELL	MANURE_BUY	IDLE_ARABLE	IDLE_GRASS	LEASE_QUOTA	LET_QUOTA	COUPLED_PREM_UNMOD	DECOUPLED_PREM_UNMOD	TOTAL_PREM_MODULATED	TRANCH_1	TRANCH_2	TRANCH_3	TRANCH_4	TRANCH_5	FIRST_30_HECTARE	NEXT_16_HECTARE	EXCESS_LU	
RentVar    	0          	0          	0          	CROP-PIF1  	1          	3.96       	0          	31733.6    	0          	755.471    	0          	0.4752     	1.584      	0          	0.2772     	0          	0.9108     	0          	0          	0.396      	0.3168     	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	1398.36    	0          	1398.36    	1398.36    	0          	0          	0          	0          	0          	0          	0          	
RentVar    	0          	0          	1          	CROP-PIF1  	1          	3.96       	0          	30945.2    	0          	755.471    	0          	0.4752     	1.584      	0          	0.2772     	0          	0.9108     	0          	0          	0.396      	0.3168     	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	1398.36    	0          	1398.36    	1398.36    	0          	0          	0          	0          	0          	0          	0          	
RentVar    	0          	0          	2          	CROP-PIF1  	1          	3.96       	0          	30485.4    	0          	755.471    	0          	0.4752     	1.584      	0          	0.2772     	0          	0.9108     	0          	0          	0.396      	0.3168     	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	1398.36    	0          	1398.36    	1398.36    	0          	0          	0          	0          	0          	0          	0          	
RentVar    	0          	0          	3          	CROP-PIF1  	1          	3.96       	0          	30358.6    	0          	755.471    	0          	0.4752     	1.584      	0          	0.2772     	0          	0.9108     	0          	0          	0.396      	0.3168     	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	1398.36    	0          	1398.36    	1398.36    	0          	0          	0          	0          	0          	0          	0          	
RentVar    	0          	0          	4          	CROP-PIF1  	1          	3.96       	0          	33970.6    	0          	755.471    	0          	0.4752     	1.584      	0          	0.2772     	0          	0.9108     	0          	0          	0.396      	0.3168     	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	1398.36    	0          	1398.36    	1398.36    	0          	0          	0          	0          	0          	0          	0          	
RentVar    	0          	0          	5          	CROP-PIF1  	1          	3.96       	0          	37329.4    	0          	755.471    	0          	0.4752     	1.584      	0          	0.2772     	0          	0.9108     	0          	0          	0.396      	0.3168     	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	1398.36    	0          	1398.36    	1398.36    	0          	0          	0          	0          	0          	0          	0          	
RentVar    	0          	0          	6          	CROP-PIF1  	1          	3.96       	0          	35792.6    	0          	755.471    	0          	0.4752     	1.584      	0          	0.2772     	0          	0.9108     	0          	0          	0.396      	0.3168     	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	1398.36    	0          	1398.36    	1398.36    	0          	0          	0          	0          	0          	0          	0          	
RentVar    	0          	0          	7          	CROP-PIF1  	1          	3.96       	0          	31583.6    	0          	755.471    	0          	0.4752     	1.584      	0          	0.2772     	0          	0.9108     	0          	0          	0.396      	0.3168     	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	1398.36    	0          	1398.36    	1398.36    	0          	0          	0          	0          	0          	0          	0          	
RentVar    	0          	0          	8          	CROP-PIF1  	1          	3.96       	0          	34735.2    	0          	755.471    	0          	0.4752     	1.584      	0          	0.2772     	0          	0.9108     	0          	0          	0.396      	0.3168     	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	1398.36    	0          	1398.36    	1398.36    	0          	0          	0          	0          	0          	0          	0          	
RentVar    	0          	0          	9          	CROP-PIF1  	1          	3.96       	0          	29570.2    	0          	755.471    	0          	0.4752     	1.584      	0          	0.2772     	0          	0.9108     	0          	0          	0.396      	0.3168     	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	0          	1398.36    	0          	1398.36    	1398.36    	0          	0          	0          	0          	0          	0          	0          	
