scenario	replication	iteration	farm_ID	farm_name	closed	full_time	legal_type	farm_age	farm_class	management_coeff	farm_size_class	econ_size_class	ec_size_ESU	total_ha	owned_ha	used_land	revenue	lu	ruminants	granivore	overheads	maintenance	annuity	depreciation	wages_paid	rent_paid	interest_paid	coupled_subs_unmod	decoupled_subs_unmod	total_premium_mod	econ_land_rent	rent_Arable_Land	rent_Grazing_Land	total_land_Arable_Land	total_land_Grazing_Land	rented_land_Arable_Land	rented_land_Grazing_Land	new_rent_Arable_Land	new_rent_Grazing_Land	new_rented_land_Arable_Land	new_rented_land_Grazing_Land	total_assets	total_fixed_assets	land_assets	liquidity	borrowed_capital	short_term_borrowed	profit	equity_capital	change_in_equity	net_investment	labour_input	family_labour	Withdrawal	farm_net_value_added	total_hh_income	off_farm_income	labour_substitution	global_strategy	display_modulation
RentVar	0          	0          	0          	CROP-PIF1  	0          	0          	0          	16         	3          	0.951811   	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	74.1595    	1320       	3723.24    	2520.03    	0          	1008.48    	842.243    	1398.36    	0          	1398.36    	-612.088   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	86829      	24064.1    	65285      	31841.6    	15080.8    	0          	3229.9     	104346     	-2032.2    	-2520.03   	144.529    	1800       	18092      	3493.94    	16059.8    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	1          	CROP-PIF1  	0          	0          	0          	3          	3          	1.02057    	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	71.5947    	1320       	3723.24    	2400.03    	0          	1008.48    	926.244    	1398.36    	0          	1398.36    	-678.465   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	89349.1    	26464.1    	65285      	30858.7    	16844.9    	0          	2967.04    	104083     	-2295.05   	-2400.03   	144.529    	1800       	18092      	3354.51    	15796.9    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	2          	CROP-PIF1  	0          	0          	0          	1          	3          	0.891074   	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	76.4252    	1320       	3723.24    	2285.75    	0          	1008.48    	1006.25    	1398.36    	0          	1398.36    	-554.443   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	91749.1    	28749.9    	65285      	30664.1    	18524.9    	0          	3458.17    	104574     	-1803.92   	-2285.75   	144.529    	1800       	18092      	3948.63    	16288.1    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	3          	CROP-PIF1  	0          	0          	0          	2          	3          	0.976014   	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	73.2567    	1320       	3723.24    	2285.75    	0          	1008.48    	1006.25    	1398.36    	0          	1398.36    	-634.678   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	91749.1    	28749.9    	65285      	30346.4    	18524.9    	0          	3140.44    	104256     	-2121.65   	-2285.75   	144.529    	1800       	18092      	3637.24    	15970.3    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	4          	CROP-PIF1  	0          	0          	0          	12         	3          	0.973753   	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	73.341     	1320       	3723.24    	2917.25    	0          	1008.48    	564.189    	1398.36    	0          	1398.36    	-634.805   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	78487.4    	16119.7    	65285      	34134.9    	9241.69    	0          	3139.94    	104256     	-2122.16   	-2917.25   	144.529    	1800       	18092      	3014.07    	15969.8    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	5          	CROP-PIF1  	0          	0          	0          	25         	3          	1.13042    	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	67.4967    	1320       	3723.24    	3545.94    	0          	1008.48    	124.108    	1398.36    	0          	1398.36    	-786.132   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	65285      	3545.94    	65285      	37307.8    	0          	0          	2540.68    	103657     	-2721.41   	-3545.94   	144.529    	1800       	18092      	1806.8     	15370.6    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	6          	CROP-PIF1  	0          	0          	0          	9          	3          	0.897863   	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	76.1719    	1320       	3723.24    	3216.27    	0          	1008.48    	354.876    	1398.36    	0          	1398.36    	-563.272   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	72208      	10139.3    	65285      	36212.3    	4846.12    	0          	3423.21    	104539     	-1838.89   	-3216.27   	144.529    	1800       	18092      	2996.94    	16253.1    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	7          	CROP-PIF1  	0          	0          	0          	14         	3          	1.05229    	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	70.4115    	1320       	3723.24    	2520.03    	0          	1008.48    	842.243    	1398.36    	0          	1398.36    	-709.485   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	86829      	24064.1    	65285      	31455.9    	15080.8    	0          	2844.21    	103960     	-2417.89   	-2520.03   	144.529    	1800       	18092      	3115.75    	15674.1    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	8          	CROP-PIF1  	0          	0          	0          	23         	3          	1.01997    	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	71.6169    	1320       	3723.24    	3063.12    	0          	1008.48    	462.085    	1398.36    	0          	1398.36    	-678.897   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	75424.3    	13202.4    	65285      	34835.5    	7097.51    	0          	2965.33    	104081     	-2296.76   	-3063.12   	144.529    	1800       	18092      	2699.14    	15795.2    	12829.9    	-100       	0          	1          	
RentVar	0          	0          	9          	CROP-PIF1  	0          	0          	0          	10         	3          	1.08756    	1          	2          	4.86486    	3.96       	0          	3.96       	10966.5    	0          	0          	0          	69.0957    	1320       	3723.24    	2176.9     	0          	1008.48    	1082.44    	1398.36    	0          	1398.36    	-740.411   	382        	0          	3.96       	0          	2.64       	0          	0          	0          	0          	0          	94034.9    	30926.8    	65285      	29274.6    	20124.9    	0          	2721.74    	103838     	-2540.36   	-2176.9    	144.529    	1800       	18092      	3334.15    	15551.6    	12829.9    	-100       	0          	1          	
