id	row	col	soilType	ownedBy_id	ownedBy_name	rentBy_id	rentBy_name	rent	second_offer
0	0	0	Arable_Land	-1	NON	134	FOD-PIF10	409.2	409.2
1	1	0	Arable_Land	82	DAIRY-FIF7	-1	NON	-1	-1
2	2	0	Grazing_Land	82	DAIRY-FIF7	-1	NON	-1	-1
3	3	0	Arable_Land	82	DAIRY-FIF7	-1	NON	-1	-1
4	4	0	Grazing_Land	56	CROP-PIF2	-1	NON	-1	-1
5	5	0	Arable_Land	56	CROP-PIF2	-1	NON	-1	-1
6	6	0	Grazing_Land	-1	NON	56	CROP-PIF2	431.64	431.64
7	7	0	Arable_Land	56	CROP-PIF2	-1	NON	-1	-1
8	8	0	Grazing_Land	-1	NON	82	DAIRY-FIF7	431.64	431.64
9	9	0	Arable_Land	-1	NON	69	CROP-FIF4	504.24	504.24
11	11	0	Arable_Land	-1	NON	63	CROP-PIF3	504.24	504.24
12	12	0	Arable_Land	-1	NON	63	CROP-PIF3	504.24	504.24
13	13	0	Arable_Land	-1	NON	63	CROP-PIF3	504.24	504.24
16	16	0	Arable_Land	6	CROP-PIF1	-1	NON	-1	-1
17	17	0	Grazing_Land	-1	NON	63	CROP-PIF3	431.64	431.64
20	20	0	Grazing_Land	179	POUL-FIF15	-1	NON	-1	-1
21	21	0	Arable_Land	179	POUL-FIF15	-1	NON	-1	-1
22	22	0	Grazing_Land	-1	NON	179	POUL-FIF15	431.64	431.64
23	23	0	Arable_Land	-1	NON	179	POUL-FIF15	504.24	504.24
24	24	0	Grazing_Land	-1	NON	109	FOD-FIF9	431.64	431.64
25	25	0	Arable_Land	-1	NON	109	FOD-FIF9	504.24	504.24
26	26	0	Grazing_Land	-1	NON	109	FOD-FIF9	431.64	431.64
27	27	0	Grazing_Land	-1	NON	136	FOD-PIF10	393.36	393.36
28	28	0	Grazing_Land	-1	NON	154	PIG-PIF12	431.64	431.64
29	29	0	Arable_Land	-1	NON	89	DAIRY-FIF8	504.24	504.24
30	30	0	Arable_Land	-1	NON	5	CROP-PIF1	504.24	504.24
31	31	0	Arable_Land	-1	NON	5	CROP-PIF1	504.24	504.24
32	32	0	Grazing_Land	-1	NON	186	MIXED-FIF16	1643.52	1626.47
33	33	0	Grazing_Land	-1	NON	89	DAIRY-FIF8	431.64	431.64
34	34	0	Arable_Land	-1	NON	170	PIG-FIF13	504.24	504.24
35	35	0	Grazing_Land	-1	NON	85	DAIRY-FIF8	431.64	431.64
36	36	0	Grazing_Land	-1	NON	97	FOD-FIF9	431.64	431.64
37	37	0	Arable_Land	-1	NON	170	PIG-FIF13	504.24	504.24
38	38	0	Grazing_Land	-1	NON	89	DAIRY-FIF8	431.64	431.64
39	39	0	Arable_Land	-1	NON	170	PIG-FIF13	504.24	504.24
40	40	0	Arable_Land	-1	NON	89	DAIRY-FIF8	504.24	504.24
41	41	0	Grazing_Land	-1	NON	85	DAIRY-FIF8	431.64	431.64
42	42	0	Arable_Land	-1	NON	89	DAIRY-FIF8	504.24	504.24
43	43	0	Grazing_Land	-1	NON	185	MIXED-FIF16	1759.79	1751.11
45	45	0	Arable_Land	-1	NON	111	FOD-FIF9	504.24	504.24
46	46	0	Arable_Land	-1	NON	111	FOD-FIF9	504.24	504.24
47	47	0	Arable_Land	-1	NON	111	FOD-FIF9	504.24	504.24
