scenario	iteration	ST_BORROW_CAP	EC_INTEREST	V_HIRED_LABOUR	V_OFF_FARM_LAB	AGRI_SERVICES	BARLEY	WINTER_WHEAT	SUMMER_WHEAT	SUGAR_BEETS	MAIZE_SILAGE	GRAIN_MAIZE	PASTURE	GRASS_SILAGE	POTATOES	TRITICALE	SPELT	HENS	BROILERS	SOWS	FATTENING_PIGS	BULL_SUCKLER	SUCKLER_COW	DAIRY_COW	HEIFER_SUCKLER	HEIFER_DAIRY	DAIRY_CALF_SELL	SUCKLER_CALF_SELL	MANURE_SELL	MANURE_BUY	IDLE_ARABLE	IDLE_GRASS	LEASE_QUOTA	LET_QUOTA	COUPLED_PREM_UNMOD	DECOUPLED_PREM_UNMOD	TOTAL_PREM_MODULATED	TRANCH_1	TRANCH_2	TRANCH_3	TRANCH_4	TRANCH_5	FIRST_30_HECTARE	NEXT_16_HECTARE	EXCESS_LU	
RentVar	          0	      -0.06	       0.05	     -11.26	       7.75	          0	    1617.78	    1791.09	    1121.02	    2962.12	          0	    1374.39	          0	          0	    8613.34	    1510.37	    1587.91	         47	         19	     879.81	        550	       1550	       1150	       4000	          0	          0	        500	        270	        -18	          0	          0	          0	          0	          0	          0	          0	          1	          0	          0	          0	          0	          0	          0	          0	          0	
RentVar	          1	      -0.06	       0.05	   -11.3218	    7.79251	          0	    1617.78	    1791.09	    1121.02	    2962.12	          0	    1374.39	          0	          0	    8613.34	    1510.37	    1587.91	         47	         19	     879.81	        550	       1550	       1150	       4000	          0	          0	        500	        270	        -18	          0	          0	          0	          0	          0	          0	          0	          1	          0	          0	          0	          0	          0	          0	          0	          0	
RentVar	          2	      -0.06	       0.05	    -11.415	    7.85671	          0	    1617.78	    1791.09	    1121.02	    2962.12	          0	    1374.39	          0	          0	    8613.34	    1510.37	    1587.91	         47	         19	     879.81	        550	       1550	       1150	       4000	          0	          0	        500	        270	        -18	          0	          0	          0	          0	          0	          0	          0	          1	          0	          0	          0	          0	          0	          0	          0	          0	
RentVar	          3	      -0.06	       0.05	   -11.5248	    7.93228	          0	    1617.78	    1791.09	    1121.02	    2962.12	          0	    1374.39	          0	          0	    8613.34	    1510.37	    1587.91	         47	         19	     879.81	        550	       1550	       1150	       4000	          0	          0	        500	        270	        -18	          0	          0	          0	          0	          0	          0	          0	          1	          0	          0	          0	          0	          0	          0	          0	          0	
RentVar	          4	      -0.06	       0.05	   -11.6436	    8.01405	          0	    1617.78	    1791.09	    1121.02	    2962.12	          0	    1374.39	          0	          0	    8613.34	    1510.37	    1587.91	         47	         19	     879.81	        550	       1550	       1150	       4000	          0	          0	        500	        270	        -18	          0	          0	          0	          0	          0	          0	          0	          1	          0	          0	          0	          0	          0	          0	          0	          0	
RentVar	          5	      -0.06	       0.05	   -11.7677	    8.09944	          0	    1617.78	    1791.09	    1121.02	    2962.12	          0	    1374.39	          0	          0	    8613.34	    1510.37	    1587.91	         47	         19	     879.81	        550	       1550	       1150	       4000	          0	          0	        500	        270	        -18	          0	          0	          0	          0	          0	          0	          0	          1	          0	          0	          0	          0	          0	          0	          0	          0	
RentVar	          6	      -0.06	       0.05	   -11.8951	    8.18713	          0	    1617.78	    1791.09	    1121.02	    2962.12	          0	    1374.39	          0	          0	    8613.34	    1510.37	    1587.91	         47	         19	     879.81	        550	       1550	       1150	       4000	          0	          0	        500	        270	        -18	          0	          0	          0	          0	          0	          0	          0	          1	          0	          0	          0	          0	          0	          0	          0	          0	
RentVar	          7	      -0.06	       0.05	   -12.0249	    8.27648	          0	    1617.78	    1791.09	    1121.02	    2962.12	          0	    1374.39	          0	          0	    8613.34	    1510.37	    1587.91	         47	         19	     879.81	        550	       1550	       1150	       4000	          0	          0	        500	        270	        -18	          0	          0	          0	          0	          0	          0	          0	          1	          0	          0	          0	          0	          0	          0	          0	          0	
RentVar	          8	      -0.06	       0.05	   -12.1567	    8.36717	          0	    1617.78	    1791.09	    1121.02	    2962.12	          0	    1374.39	          0	          0	    8613.34	    1510.37	    1587.91	         47	         19	     879.81	        550	       1550	       1150	       4000	          0	          0	        500	        270	        -18	          0	          0	          0	          0	          0	          0	          0	          1	          0	          0	          0	          0	          0	          0	          0	          0	
RentVar	          9	      -0.06	       0.05	   -12.2901	    8.45902	          0	    1617.78	    1791.09	    1121.02	    2962.12	          0	    1374.39	          0	          0	    8613.34	    1510.37	    1587.91	         47	         19	     879.81	        550	       1550	       1150	       4000	          0	          0	        500	        270	        -18	          0	          0	          0	          0	          0	          0	          0	          1	          0	          0	          0	          0	          0	          0	          0	          0	
