scenario	replication	iteration	ST_BORROW_CAP	EC_INTEREST	V_HIRED_LABOUR	V_OFF_FARM_LAB	AGRI_SERVICES	BARLEY	WINTER_WHEAT	SUMMER_WHEAT	SUGAR_BEETS	MAIZE_SILAGE	GRAIN_MAIZE	PASTURE	GRASS_SILAGE	POTATOES	TRITICALE	SPELT	HENS	BROILERS	SOWS	FATTENING_PIGS	BULL_SUCKLER	SUCKLER_COW	DAIRY_COW	HEIFER_SUCKLER	HEIFER_DAIRY	DAIRY_CALF_SELL	SUCKLER_CALF_SELL	MANURE_SELL	MANURE_BUY	IDLE_ARABLE	IDLE_GRASS	LEASE_QUOTA	LET_QUOTA	COUPLED_PREM_UNMOD	DECOUPLED_PREM_UNMOD	TOTAL_PREM_MODULATED	TRANCH_1	TRANCH_2	TRANCH_3	TRANCH_4	TRANCH_5	FIRST_30_HECTARE	NEXT_16_HECTARE	EXCESS_LU	
    RentVar	          0	          0	      -0.06	       0.05	     -11.26	       7.75	          0	    1617.78	    1791.09	    1121.02	    2962.12	          0	    1374.39	          0	          0	    8613.34	    1510.37	    1587.91	         47	         19	     879.81	        550	       1550	       1150	       4000	          0	          0	        500	        270	        -18	          0	          0	          0	          0	          0	          0	          0	          1	          0	          0	          0	          0	          0	          0	          0	          0	
    RentVar	          0	          1	      -0.06	       0.05	   -11.3839	    7.83525	          0	    1617.78	    1791.09	    1121.02	    2962.12	          0	    1374.39	          0	          0	    8613.34	    1510.37	    1587.91	         47	         19	     879.81	        550	       1550	       1150	       4000	          0	          0	        500	        270	        -18	          0	          0	          0	          0	          0	          0	          0	          1	          0	          0	          0	          0	          0	          0	          0	          0	
    RentVar	          0	          2	      -0.06	       0.05	   -11.5091	    7.92144	          0	    1617.78	    1791.09	    1121.02	    2962.12	          0	    1374.39	          0	          0	    8613.34	    1510.37	    1587.91	         47	         19	     879.81	        550	       1550	       1150	       4000	          0	          0	        500	        270	        -18	          0	          0	          0	          0	          0	          0	          0	          1	          0	          0	          0	          0	          0	          0	          0	          0	
    RentVar	          0	          3	      -0.06	       0.05	   -11.6357	    8.00857	          0	    1617.78	    1791.09	    1121.02	    2962.12	          0	    1374.39	          0	          0	    8613.34	    1510.37	    1587.91	         47	         19	     879.81	        550	       1550	       1150	       4000	          0	          0	        500	        270	        -18	          0	          0	          0	          0	          0	          0	          0	          1	          0	          0	          0	          0	          0	          0	          0	          0	
    RentVar	          0	          4	      -0.06	       0.05	   -11.7637	    8.09667	          0	    1617.78	    1791.09	    1121.02	    2962.12	          0	    1374.39	          0	          0	    8613.34	    1510.37	    1587.91	         47	         19	     879.81	        550	       1550	       1150	       4000	          0	          0	        500	        270	        -18	          0	          0	          0	          0	          0	          0	          0	          1	          0	          0	          0	          0	          0	          0	          0	          0	
    RentVar	          0	          5	      -0.06	       0.05	   -11.8931	    8.18573	          0	    1617.78	    1791.09	    1121.02	    2962.12	          0	    1374.39	          0	          0	    8613.34	    1510.37	    1587.91	         47	         19	     879.81	        550	       1550	       1150	       4000	          0	          0	        500	        270	        -18	          0	          0	          0	          0	          0	          0	          0	          1	          0	          0	          0	          0	          0	          0	          0	          0	
    RentVar	          0	          6	      -0.06	       0.05	   -12.0239	    8.27577	          0	    1617.78	    1791.09	    1121.02	    2962.12	          0	    1374.39	          0	          0	    8613.34	    1510.37	    1587.91	         47	         19	     879.81	        550	       1550	       1150	       4000	          0	          0	        500	        270	        -18	          0	          0	          0	          0	          0	          0	          0	          1	          0	          0	          0	          0	          0	          0	          0	          0	
    RentVar	          0	          7	      -0.06	       0.05	   -12.1562	    8.36681	          0	    1617.78	    1791.09	    1121.02	    2962.12	          0	    1374.39	          0	          0	    8613.34	    1510.37	    1587.91	         47	         19	     879.81	        550	       1550	       1150	       4000	          0	          0	        500	        270	        -18	          0	          0	          0	          0	          0	          0	          0	          1	          0	          0	          0	          0	          0	          0	          0	          0	
    RentVar	          0	          8	      -0.06	       0.05	   -12.2899	    8.45884	          0	    1617.78	    1791.09	    1121.02	    2962.12	          0	    1374.39	          0	          0	    8613.34	    1510.37	    1587.91	         47	         19	     879.81	        550	       1550	       1150	       4000	          0	          0	        500	        270	        -18	          0	          0	          0	          0	          0	          0	          0	          1	          0	          0	          0	          0	          0	          0	          0	          0	
    RentVar	          0	          9	      -0.06	       0.05	   -12.4251	    8.55189	          0	    1617.78	    1791.09	    1121.02	    2962.12	          0	    1374.39	          0	          0	    8613.34	    1510.37	    1587.91	         47	         19	     879.81	        550	       1550	       1150	       4000	          0	          0	        500	        270	        -18	          0	          0	          0	          0	          0	          0	          0	          1	          0	          0	          0	          0	          0	          0	          0	          0	
