scenario	replication	period	plots_occupied	rented_plots	used_land	number_of_farms	farm_closings	family_labour	total_income	profit	net_profitability	withdrawal	equity_capital	liquidity	assets_wo_land	investment_expenditure	borrowed_cap	total_lt_interest_costs	st_interest_costs	st_interest_rev	hired_pay_fix	hired_pay_var	factor_rem_fix	factor_rem_var	depreciation	rent_exp	new_rent_exp	distance_costs	ST_BORROW_CAP	EC_INTEREST	V_HIRED_LABOUR	V_OFF_FARM_LAB	AGRI_SERVICES	BARLEY	WINTER_WHEAT	SUMMER_WHEAT	SUGAR_BEETS	MAIZE_SILAGE	GRAIN_MAIZE	PASTURE	GRASS_SILAGE	POTATOES	TRITICALE	SPELT	HENS	BROILERS	SOWS	FATTENING_PIGS	BULL_SUCKLER	SUCKLER_COW	DAIRY_COW	HEIFER_SUCKLER	HEIFER_DAIRY	DAIRY_CALF_SELL	SUCKLER_CALF_SELL	MANURE_SELL	MANURE_BUY	IDLE_ARABLE	IDLE_GRASS	LEASE_QUOTA	LET_QUOTA	COUPLED_PREM_UNMOD	DECOUPLED_PREM_UNMOD	TOTAL_PREM_MODULATED	TRANCH_1	TRANCH_2	TRANCH_3	TRANCH_4	TRANCH_5	FIRST_30_HECTARE	NEXT_16_HECTARE	EXCESS_LU	value_added	labour_input_h	land_input_ha	capital_input	real_sc_labour	sell_guelle_p	buy_guelle_p	Arable_Land_rent	Grazing_Land_rent	rented_Arable_Land	rented_Grazing_Land	land_assets	Arable_Land_new_rent	Grazing_Land_new_rent	new_rented_Arable_Land	new_rented_Grazing_Land	new_rented_plots	HIREDLAB_capacity	OFFFARMLAB_capacity	SOWS_capacity	PIGS_capacity	INTCATTLE_capacity	EXTCATTLE_capacity	DAIRY_capacity	ROBOT_capacity	VEALER_capacity	HENS_capacity	CHICKENS_capacity	_capacity	MACHINERY_capacity	global_strategy	
RentVar	0          	0          	4015       	2697       	5299.8     	205        	9          	297        	7.16637e+06	4.92905e+06	325.537    	8.44133e+06	8.40593e+07	2.77018e+07	6.33996e+07	1.57178e+07	4.43797e+07	2.39798e+06	195112     	1.3387e+06 	70938      	274803     	1.52055e+06	716766     	5.1142e+06 	1.27763e+06	0          	58491.4    	3.25186e+06	2.67739e+07	24405.3    	92485.9    	1543.69    	108.517    	578.048    	0          	121.414    	1814.52    	173.337    	1483.76    	406.481    	340.956    	272.765    	0          	5657.14    	32002.2    	0          	1961.59    	4000.15    	649.654    	2102.7     	129.931    	841.079    	2102.7     	519.723    	0          	0          	0          	0          	0          	0          	1.97651e+06	0          	1.86037e+06	815088     	1.16143e+06	0          	0          	0          	0          	0          	0          	7.80682e+06	276619     	5299.8     	1.32019e+08	614181     	0          	0          	871667     	405966     	2300.76    	1259.28    	3.58247e+07	0          	0          	0          	0          	0          	0          	0          	0          	79780      	6090       	880        	4980       	6040       	3053       	200000     	381200     	0          	3745       	0          	
RentVar	0          	1          	4015       	2727       	5299.8     	196        	4          	278        	8.30127e+06	6.32179e+06	278.024    	8.53585e+06	7.97212e+07	2.66739e+07	5.61322e+07	2.94125e+06	3.92926e+07	2.11891e+06	231956     	1.26532e+06	0          	361882     	1.26931e+06	710175     	4.40808e+06	1.57608e+06	359998     	66627      	3.86594e+06	2.53065e+07	31789      	90638.5    	1491.62    	90.415     	494.035    	0          	111.334    	2000.92    	99.1402    	1465.19    	425.049    	340.956    	272.765    	0          	2262.86    	28554.1    	0          	1705.1     	4769.73    	620.076    	2205.79    	124.015    	882.315    	2205.79    	496.06     	0          	0          	0          	0          	0          	0          	1.9754e+06 	0          	1.85555e+06	776868     	1.19853e+06	0          	0          	0          	0          	0          	0          	9.34529e+06	279551     	5299.8     	1.22099e+08	0          	0          	0          	1.08495e+06	491126     	2328.48    	1271.16    	3.48853e+07	252737     	107261     	132        	80.52      	161        	0          	0          	0          	61320      	6670       	880        	4980       	6000       	2967       	80000      	249500     	0          	3615       	0          	
RentVar	0          	2          	4015       	2735       	5299.8     	192        	9          	274        	8.70737e+06	6.78044e+06	269.403    	8.73144e+06	7.92671e+07	2.72954e+07	5.36825e+07	1.9152e+06 	3.75778e+07	2.0295e+06 	244482     	1.29055e+06	0          	387113     	1.2405e+06 	686434     	4.30319e+06	1.68297e+06	131782     	70181.2    	4.0747e+06 	2.5811e+07 	33635.5    	86655.2    	1575.83    	47.361     	437.442    	0          	110.267    	2118.23    	82.5394    	1457.2     	433.04     	340.956    	272.765    	0          	2262.86    	25902.6    	0          	1643.88    	5223.96    	614.779    	2249.27    	122.956    	899.708    	2249.27    	491.823    	0          	0          	0          	0          	0          	0          	1.97451e+06	0          	1.85378e+06	767207     	1.20731e+06	0          	0          	0          	0          	0          	0          	9.83396e+06	283580     	5299.8     	1.19857e+08	83268      	0          	0          	1.16123e+06	521740     	2335.08    	1275.12    	3.45759e+07	92726      	39055.7    	50.16      	30.36      	61         	0          	0          	0          	56160      	6928       	880        	4980       	5860       	2949       	80000      	235600     	0          	3445       	0          	
RentVar	0          	3          	4015       	2766       	5299.8     	183        	5          	263        	9.05798e+06	7.26266e+06	265.406    	8.79413e+06	7.74868e+07	2.76472e+07	4.94485e+07	2.14012e+06	3.4614e+07 	1.87867e+06	239694     	1.28549e+06	0          	485598     	1.16044e+06	634880     	4.22779e+06	1.89007e+06	253620     	78180.1    	3.9949e+06 	2.57098e+07	41733.6    	79275.1    	1522.55    	42.9392    	332.886    	0          	105.685    	2246.17    	68.1631    	1450.21    	440.03     	340.956    	272.765    	0          	2074.29    	10227.4    	0          	1916.12    	5859.32    	594.765    	2289.13    	118.953    	915.654    	2289.13    	475.812    	0          	0          	0          	0          	0          	0          	1.97116e+06	0          	1.84769e+06	736487     	1.23467e+06	0          	0          	0          	0          	0          	0          	1.04712e+07	290958     	5299.8     	1.1506e+08 	88465.8    	0          	0          	1.30769e+06	582382     	2360.16    	1290.96    	3.37366e+07	178838     	74781.8    	101.64     	60.72      	123        	0          	0          	0          	52320      	7252       	880        	4940       	5480       	2949       	80000      	131700     	0          	3455       	0          	
RentVar	0          	4          	4015       	2795       	5299.8     	178        	3          	256        	9.68155e+06	7.98559e+06	266.161    	8.98158e+06	7.75274e+07	2.96243e+07	4.54893e+07	1.85005e+06	3.18425e+07	1.7299e+06 	198400     	1.32928e+06	0          	530858     	1.11491e+06	581052     	3.93632e+06	2.0768e+06 	226904     	83568.8    	3.30667e+06	2.65856e+07	45126.9    	71764.3    	1507.07    	29.4973    	259.66     	0          	100.495    	2351.18    	55.0044    	1423.84    	466.399    	340.956    	272.765    	0          	1131.43    	5735.53    	0          	1622.73    	6124.62    	575.373    	2432.85    	115.075    	973.141    	2432.85    	460.299    	0          	0          	0          	0          	0          	0          	1.96791e+06	0          	1.84207e+06	709538     	1.25837e+06	0          	0          	0          	0          	0          	0          	1.11923e+07	296463     	5299.8     	1.12125e+08	130588     	0          	0          	1.42805e+06	648750     	2381.28    	1308.12    	3.30754e+07	143490     	83414.4    	83.16      	71.28      	117        	0          	0          	0          	44280      	7412       	880        	4880       	4920       	2906       	40000      	103900     	0          	3460       	0          	
RentVar	0          	5          	4015       	2808       	5299.8     	175        	2          	250        	9.78331e+06	8.18877e+06	246.149    	9.01655e+06	7.77376e+07	3.10368e+07	4.26122e+07	1.30605e+06	2.98286e+07	1.62852e+06	186885     	1.38788e+06	0          	531122     	1.06087e+06	533673     	3.91696e+06	2.23099e+06	193194     	87552      	3.11476e+06	2.77576e+07	44658.1    	65195.5    	1530.37    	27.4381    	231.369    	0          	98.2993    	2388.14    	50.5956    	1397.41    	492.826    	340.956    	272.765    	0          	1131.43    	3771.43    	0          	1424.86    	6005.28    	561.304    	2576.24    	112.261    	1030.5     	2576.24    	449.043    	0          	0          	0          	0          	0          	0          	1.96555e+06	0          	1.83848e+06	694792     	1.27076e+06	0          	0          	0          	0          	0          	0          	1.13784e+07	299863     	5299.8     	1.10308e+08	0          	0          	0          	1.54182e+06	689164     	2391.84    	1314.72    	3.2742e+07 	140023     	53171      	80.52      	46.2       	96         	0          	0          	0          	42940      	7312       	880        	4680       	4940       	2906       	40000      	90000      	0          	3420       	0          	
RentVar	0          	6          	4015       	2811       	5299.8     	173        	0          	247        	1.01795e+07	8.61774e+06	261.578    	9.1447e+06 	7.79938e+07	3.22839e+07	4.00686e+07	1.94768e+06	2.8048e+07 	1.52957e+06	175026     	1.42907e+06	0          	549952     	1.06509e+06	496638     	3.6333e+06 	2.32581e+06	123158     	90092.5    	2.9171e+06 	2.85815e+07	45738.2    	60011      	1587.42    	24.3099    	216.476    	0          	95.1886    	2412.31    	47.5596    	1407.15    	483.091    	340.956    	272.765    	0          	1131.43    	3771.43    	0          	1235.65    	6258.04    	578.863    	2521.95    	115.773    	1008.78    	2521.95    	463.091    	0          	0          	0          	0          	0          	0          	1.96849e+06	0          	1.84045e+06	688012     	1.28048e+06	0          	0          	0          	0          	0          	0          	1.1769e+07 	301627     	5299.8     	1.08585e+08	0          	0          	0          	1.6103e+06 	715512     	2394.48    	1316.04    	3.25994e+07	87035      	36122.9    	51.48      	31.68      	63         	0          	0          	0          	34900      	7476       	960        	4300       	4540       	2908       	40000      	90000      	0          	3290       	0          	
RentVar	0          	7          	4015       	2811       	5299.8     	173        	8          	247        	1.05429e+07	8.97212e+06	349.303    	9.37611e+06	7.91606e+07	3.42504e+07	3.75784e+07	967450     	2.63049e+07	1.43626e+06	173980     	1.52133e+06	0          	593193     	1.06928e+06	501476     	3.45765e+06	2.4054e+06 	105044     	92970.1    	2.89967e+06	3.04267e+07	48797.7    	59936.4    	1568.18    	23.1703    	198.068    	0          	92.3506    	2435.3     	46.9524    	1405.76    	484.482    	340.956    	272.765    	0          	443.458    	3771.43    	0          	1129.86    	6406.81    	547.688    	2533.12    	109.538    	1013.25    	2533.12    	438.15     	0          	0          	0          	0          	0          	0          	1.96327e+06	0          	1.83568e+06	687419     	1.27585e+06	0          	0          	0          	0          	0          	0          	1.20596e+07	305661     	5299.8     	1.07886e+08	0          	0          	0          	1.67179e+06	733613     	2394.48    	1316.04    	3.25994e+07	79643.4    	25400.2    	47.52      	22.44      	53         	0          	0          	0          	30700      	7416       	960        	4300       	3860       	2908       	40000      	90000      	0          	3300       	0          	
RentVar	0          	8          	4015       	2867       	5299.8     	165        	5          	232        	1.13867e+07	1.00098e+07	314.927    	9.39679e+06	7.99044e+07	3.79967e+07	3.27665e+07	1.98395e+06	2.29365e+07	1.24526e+06	82383.5    	1.60576e+06	0          	650378     	928781     	448119     	2.81227e+06	2.67337e+06	317473     	101083     	1.37306e+06	3.21153e+07	52919.8    	52976.4    	1627.26    	19.5271    	172.023    	0          	82.7349    	2481.59    	39.9696    	1366.94    	523.302    	340.956    	272.765    	0          	0          	0          	0          	1058.95    	6150.39    	540.563    	2742.15    	108.113    	1096.86    	2742.15    	432.451    	0          	0          	0          	0          	0          	0          	1.96207e+06	0          	1.83119e+06	653181     	1.30889e+06	0          	0          	0          	0          	0          	0          	1.30555e+07	307743     	5299.8     	1.0481e+08 	0          	0          	0          	1.89425e+06	779124     	2452.56    	1331.88    	3.12341e+07	260499     	56973.9    	158.4      	51.48      	159        	0          	0          	0          	13900      	7064       	960        	4300       	3400       	2970       	0          	0          	0          	3220       	0          	
RentVar	0          	9          	4015       	2886       	5299.8     	160        	4          	226        	1.16029e+07	1.02982e+07	319.584    	9.43463e+06	8.08312e+07	3.97146e+07	3.20247e+07	2.46485e+06	2.24173e+07	1.21189e+06	57394.7    	1.66323e+06	0          	696693     	877424     	427264     	2.60084e+06	2.80012e+06	155347     	105227     	956578     	3.32647e+07	56071.6    	49961.4    	1726.37    	17.5824    	137.22     	0          	80.2318    	2523.87    	36.9336    	1351.91    	538.33     	340.956    	272.765    	0          	0          	0          	0          	811.335    	6197.86    	527.392    	2824.31    	105.478    	1129.72    	2824.31    	421.914    	0          	0          	0          	0          	0          	0          	1.95987e+06	0          	1.82779e+06	639113     	1.32075e+06	0          	0          	0          	0          	0          	0          	1.3401e+07 	310310     	5299.8     	1.05069e+08	0          	0          	0          	1.99205e+06	808072     	2471.04    	1338.48    	3.07289e+07	117996     	37351.6    	72.6       	33         	80         	0          	0          	0          	9100       	7004       	960        	4200       	3360       	2952       	0          	0          	0          	3070       	0          	
